PSR ID	B(deg)	L(deg)	Period(s)	Pdot	Flux(photons/cm^2/s)	LowCut(GeV)	HighCut(GeV)	SpectralIndex	T-Zero(MJD)	Binary(Y/N)	NumBins	Lite1	Lite2	Lite3	Lite4	Lite5	Lite6	Lite7	Lite8	Lite9	Lite10	Lite11	Lite12	Lite13	Lite14	Lite15	Lite16	Lite17	Lite18	Lite19	Lite20	Lite21
GRS00610254	-1.93E+00	3.53E+02	4.77E-01	1.01E-14	1.34E-10	1.00E-01	2.21E+01	6.67E-01	5.19E+04	N	21	7.36E-11	7.55E-11	8.12E-11	9.08E-11	1.04E-10	1.22E-10	1.42E-10	1.64E-10	1.84E-10	1.99E-10	2.04E-10	1.99E-10	1.84E-10	1.64E-10	1.42E-10	1.22E-10	1.04E-10	9.08E-11	8.12E-11	7.55E-11	7.36E-11
GRS00610283	3.76E+00	3.50E+02	2.95E-01	6.07E-16	7.15E-11	1.00E-01	8.98E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.55E-11	3.15E-10	7.29E-10	3.15E-10	3.55E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00610595	-7.39E-02	2.12E+02	1.69E-01	9.95E-14	2.57E-10	1.00E-01	8.70E+00	6.67E-01	5.19E+04	N	21	1.61E-10	1.65E-10	1.77E-10	1.96E-10	2.20E-10	2.47E-10	2.76E-10	3.02E-10	3.23E-10	3.37E-10	3.42E-10	3.37E-10	3.23E-10	3.02E-10	2.76E-10	2.47E-10	2.20E-10	1.96E-10	1.77E-10	1.65E-10	1.61E-10
GRS10615420	-2.49E+00	1.76E+02	1.29E-01	1.35E-14	1.34E-08	1.00E-01	1.91E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.75E-10	1.30E-08	5.53E-08	1.31E-07	5.53E-08	1.30E-08	1.75E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00616873	-7.64E-01	8.60E+01	2.26E-01	1.31E-15	2.87E-10	1.00E-01	6.12E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.33E-10	1.34E-09	2.60E-09	1.34E-09	2.33E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00617187	-8.67E-01	3.02E+02	1.99E-01	1.74E-15	2.38E-11	1.00E-01	5.31E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.99E-11	1.22E-10	1.93E-10	1.22E-10	1.99E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00617404	-3.76E-01	6.49E+00	2.72E-01	4.86E-16	4.84E-12	1.00E-01	1.00E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.62E-11	6.44E-11	1.62E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00617722	1.19E+00	2.87E+02	5.83E-01	3.12E-15	3.95E-11	1.00E-01	3.96E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.91E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00618496	-4.43E+00	3.55E+02	4.63E-01	4.12E-16	8.97E-11	1.00E-01	1.09E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.79E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00618808	-1.20E+01	3.01E+02	4.10E-01	2.40E-15	2.19E-10	1.00E-01	4.51E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.63E-10	3.65E-09	3.63E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
